"code","Name","Reference.Area.Type..for.UNSD.use.only.","required","GeoAreaName"
419,"Latin America and the Caribbean (MDG=M49)","2.1-Regional (SDG)","R","Latin America and the Caribbean (MDG=M49)"
62,"Central Asia (M49) and Southern Asia (MDG=M49)","2.1-Regional (SDG)","R","Central Asia (M49) and Southern Asia (MDG=M49)"
143,"Central Asia (M49)","2.1-Regional (SDG)","R","Central Asia (M49)"
34,"Southern Asia (MDG=M49)","2.1-Regional (SDG)","R","Southern Asia (MDG=M49)"
753,"Eastern Asia (M49) and South-eastern Asia (MDG=M49)","2.1-Regional (SDG)","R","Eastern Asia (M49) and South-eastern Asia (MDG=M49)"
30,"Eastern Asia (M49)","2.1-Regional (SDG)","R","Eastern Asia (M49)"
35,"South-eastern Asia (MDG=M49)","2.1-Regional (SDG)","R","South-eastern Asia (MDG=M49)"
747,"Western Asia (M49) and Northern Africa (M49)","2.1-Regional (SDG)","R","Western Asia (M49) and Northern Africa (M49)"
145,"Western Asia (M49)","2.1-Regional (SDG)","R","Western Asia (M49)"
15,"Northern Africa (M49)","2.1-Regional (SDG)","R","Northern Africa (M49)"
9,"Oceania (M49)","2.1-Regional (SDG)","R","Oceania (M49)"
543,"Oceania (M49) excluding Australia and New Zealand (M49)","2.1-Regional (SDG)","R","Oceania (M49) excluding Australia and New Zealand (M49)"
53,"Australia and New Zealand (M49)","2.1-Regional (SDG)","R","Australia and New Zealand (M49)"
199,"Least Developed Countries (LDCs)","2.3-Other groupings","R","Least Developed Countries (LDCs)"
432,"Landlocked developing countries (LLDCs)","2.3-Other groupings","R","Landlocked developing countries (LLDCs)"
722,"Small island developing States (SIDS)","2.3-Other groupings","R","Small island developing States (SIDS)"
2,"Africa (M49)","2.4-Regional (M49)","O","Africa (M49)"
142,"Asia (M49)","2.4-Regional (M49)","O","Asia (M49)"
19,"Americas (m49)","2.4-Regional (M49)","O","Americas (m49)"
29,"Caribbean (M49)","2.4-Regional (M49)","O","Caribbean (M49)"
13,"Central America (M49)","2.4-Regional (M49)","O","Central America (M49)"
14,"Eastern Africa (M49)","2.4-Regional (M49)","O","Eastern Africa (M49)"
151,"Eastern Europe (M49)","2.4-Regional (M49)","O","Eastern Europe (M49)"
54,"Melanesia (M49)","2.4-Regional (M49)","O","Melanesia (M49)"
57,"Micronesia (M49)","2.4-Regional (M49)","O","Micronesia (M49)"
17,"Middle Africa (M49)","2.4-Regional (M49)","O","Middle Africa (M49)"
154,"Northern Europe (M49)","2.4-Regional (M49)","O","Northern Europe (M49)"
61,"Polynesia (M49)","2.4-Regional (M49)","O","Polynesia (M49)"
5,"South America (M49)","2.4-Regional (M49)","O","South America (M49)"
18,"Southern Africa (M49)","2.4-Regional (M49)","O","Southern Africa (M49)"
39,"Southern Europe (M49)","2.4-Regional (M49)","O","Southern Europe (M49)"
11,"Western Africa (M49)","2.4-Regional (M49)","O","Western Africa (M49)"
155,"Western Europe (M49)","2.4-Regional (M49)","O","Western Europe (M49)"
515,"Developing regions (MDG)","2.5-Regional (MDG)","O","Developing regions (MDG)"
514,"Developed regions (MDG)","2.5-Regional (MDG)","O","Developed regions (MDG)"
746,"Northern Africa (MDG)","2.5-Regional (MDG)","O","Northern Africa (MDG)"
738,"Sub-Saharan Africa (MDG)","2.5-Regional (MDG)","O","Sub-Saharan Africa (MDG)"
419,"Latin America and the Caribbean (MDG=M49)","2.5-Regional (MDG)","O","Latin America and the Caribbean (MDG=M49)"
518,"Eastern Asia (MDG)","2.5-Regional (MDG)","O","Eastern Asia (MDG)"
34,"Southern Asia (MDG=M49)","2.5-Regional (MDG)","O","Southern Asia (MDG=M49)"
35,"South-eastern Asia (MDG=M49)","2.5-Regional (MDG)","O","South-eastern Asia (MDG=M49)"
485,"Western Asia (MDG)","2.5-Regional (MDG)","O","Western Asia (MDG)"
543,"Oceania (MDG)","2.5-Regional (MDG)","O","Oceania (MDG)"
135,"Caucasus and Central Asia (MDG)","2.5-Regional (MDG)","O","Caucasus and Central Asia (MDG)"
1,"World","1.0-Global","R","World"
